Governorate,Branch
دمشق,دمشق - الحلبوني
دمشق,دمشق - الميدان
حلب,حلب - العزيزية
حلب,حلب - السليمانية
حمص,حمص - الحميدية
اللاذقية,اللاذقية - المشروع السابع
طرطوس,طرطوس - المشبكة
حماة,حماة - الحاضر
