Governorate,Branch
دمشق,دمشق - البرامكة
دمشق,دمشق - المزة
حلب,حلب - الفرقان
حلب,حلب - الجميلية
حمص,حلب - محطة بغداد
اللاذقية,اللاذقية - شارع 8 آذار
طرطوس,طرطوس - الكورنيش
حماة,حمص - الدبلان
