CODE;NAME;PRICE;ABOUT1;ABOUT2;dis;PHOTO;P;H
PS12-1A;ترنس 12 فولت 1 امبير;0.95;يحول من 220 فولت ل 12 فولت استطاعة 1 امبير نوع ممتاز صيني;"جكة النهاية ""تشبه جكة الراوتر - يمكن قصها ووصل سلكين +\- مباشرة للحمولة";5+p=0.9;;0.15;0.8
PS5-2A;ترنس 5 فولت 2 امبير;0.75;يحول من 220 فولت ل 5 فولت استطاعة 1 امبير نوع جيد جدا صيني;براند مورجان;5+p=0.7;;0.15;0.6
PS5-2A-ORG;ترنس 5 فولت 2 امبير- اورجينال اصلي;2.65;يحول من 220 فولت ل 5 فولت استطاعة 2 امبير نوع اورجينال اصلي;يحتوي على مخرجين للطاقة - براند مورجان;5+p=2.6;;0.25;2.4
