CODE;NAME;PRICE;ABOUT1;ABOUT2;dis;PHOTO;P;H
db1-dbs1;جرس باب لاسلكي;9.99;"جودة عالية جداً - صوت نقي - مدى كبير للمزارع - كبسة جرس بدون بطارية ""مميز""";"يتكون من مستقبل يصدر صوت يدعم 38 نغمة مختلفة 
وكبسة زر بدون بطارية عن طريق قوة ضغطة الزر تتحول لكهرباء وموجة إشارة - مدى تحكم 150 متر +
يعني لايوجد تبديل بطارية وعمر طويل جداً
جودة توب 1 - مناسب ل مزارع وفلل - يمكن إضافة عدة كبسات وشراء كبسات منفصلة";2p=5%;;2.19;7.8
db20+dbs20;جرس باب لاسلكي;6.9;جودة عالية جداً - صوت نقي - مدى كبير للمزارع - كبسة جرس مرفقة ب بطارية صغيرة;"يتكون من مستقبل يصدر صوت يدعم 38 نغمة مختلفة 
كبسة المرسل تحتوي على بطارية صغيرة 3 فولت - تعيش عمر طويل +5 سنين
يدعم برمجة مع ريموت اخر مستقل
تعمل تردد 433 ميغاهرتز
جودة توب 1
مدى 150 متر يصل مفتوح ومباشر";2p=5%;;2.35;4.55
SOCKETWB03;"مستقبل 1 امر ""شكل"" نقاصة";5.9;نقاصة مستقبل 433 تردد - امر واحد;لاتدعم الوايفاي فقط نقاصة خلال الريموت- الريموت يباع مستقلاً - يوجد لدينا موديل معه وايفاي ضمن موقعنا ;;;2;3.9
