CODE;NAME;PRICE;ABOUT1;ABOUT2;dis;PHOTO;P;H
WS01;حساس وجود الماء;3.85;معرفة اذا الماء تصب على الخزان ولا لا;"مجسات كروم - زر تشغيل إيقاف الصوت - دعم تنبيه صوتي - تنبيه ليد إشارة - يمكن تطويل السلك لـ 40 متر واكثر - يجب تركيب الحساس فوق على الخزان يأتي ب 2 سلك و مد سلك تليفون ""رخيص"" الى المنزل ليصل للحساس - في حال في ماء تصب فوق الجسات يتم ارسال الإشارة - يعمل على 220 فولت
فيديو شرح كامل
https://youtube.com/shorts/R5Mx6qyOXLQ?si=6vT8VqsbKIzDQ-6K
فيديو داخل خزان
https://youtube.com/shorts/Tnhx_8EWugM?si=cYBvjDB_hU_ana3O";3+p=2.9;;2.65;1.25
WS02;حساس وجود الماء - اقتصادي;2;معرفة اذا الماء تصب على الخزان ولا لا;"مجسات حديد - لايدعم تنبيه صوتي فقط ليد اشارة - تنبيه ليد إشارة - يمكن تطويل السلك لـ 40 متر واكثر - يجب تركيب الحساس فوق على الخزان يأتي ب 2 سلك و مد سلك تليفون ""رخيص"" الى المنزل ليصل للحساس - في حال في ماء تصب فوق الجسات يتم ارسال الإشارة  - يعمل على 220 فولت
فيديو شرح كامل
https://youtube.com/shorts/R5Mx6qyOXLQ?si=6vT8VqsbKIzDQ-6K
فيديو داخل خزان
https://youtube.com/shorts/Tnhx_8EWugM?si=cYBvjDB_hU_ana3O";3+p=1.5;;1;1
PC01;خلية ضوئية - حساس ليلي;2;حساس ليلي (ظلام) يعمل عند غياب الضوء قابل للضبط ومعايرة;"حساس يتميز بأنه مكفول ل 1 سنة و اجود قطع داخلية  إضافة ميزة مهمة وهي قابلية التعيير خلال تحريك لولب بداخله - يتحمل 10 امبير حمولة ريليه داخلي اصلي SONGLE - يعمل على 12 فولت - يمكن تضيف ترانس 220 فولت ل 12 فولت لكي يعمل على 220 فولت وتركب حمولة 220 فولت ""الحمولة مستقلة عن التغذية للشريحة"" سعر ترنس تقريبي 0.9 دولار - يمكنك طلبه من موقعنا للترنس";"3+p=1.5
5+p=1.35";PC01-1;1;1
