CODE;NAME;PRICE;ABOUT1;ABOUT2;dis;PHOTO;P;H
DB1-DBS1;جرس باب لاسلكي;9.99;جودة عالية جداً - صوت نقي - كبسة جرس بدون بطارية;"يتكون من مستقبل يصدر صوت يدعم 38 نغمة مختلفة 
وكبسة زر بدون بطارية عن طريق قوة ضغطة الزر تتحول لكهرباء وموجة إشارة - مدى تحكم 150 متر +
يعني لايوجد تبديل بطارية وعمر طويل جداً
جودة توب 1 - مناسب ل مزارع وفلل - يمكن إضافة عدة كبسات وشراء كبسات منفصلة";2P=20%;db1-dbs1, db1-dbs1;3.99;6
DB20+DBS20;جرس باب لاسلكي;7.37;جودة عالية جداً - صوت نقي - كبسة جرس مرفقة ب بطارية صغيرة;"يتكون من مستقبل يصدر صوت يدعم 38 نغمة مختلفة 
كبسة المرسل تحتوي على بطارية صغيرة 3 فولت - تعيش عمر طويل +5 سنين
يدعم برمجة مع ريموت اخر مستقل يمكنك شراء ريموت 3000 متر لمدى كبير
تعمل تردد 433 ميغاهرتز
جودة توب 1
مدى 150 متر يصل مفتوح ومباشر";2P=14.8%;db20+dbs20, db20+dbs20;3.87;3.50
