CODE;NAME;PRICE;ABOUT1;ABOUT2;dis;PHOTO;P;H
INV-AST-4K-5G;انفيرتر استون جيل خامس 4 كيلو;225;نظام 24 فولت - سمارت - توين - جيل خامس - BMS + WIFI - كفالة 2 سنة;انفيرتر من براند استون المميز كفالة من شركة 2 سنة مرفق بكبل شبكة للربط + صوليات للأسلاك - حجم ضخم للانفيرتر تبريد مثالي - صوت هادي عند التفريغ وشحن تحت 1000 وات - يعلى صوت مراوح عند الشحن بتيار عالي او تفريغ فوق 1000 وات تقريباً او حرارة صيف عالية - زمن تبديل صفري ولا رفة - جميع ميزات انفيرترات الجيل الخامس , ملاحظة هامة يخصم 10$ من سعر الانفيرتر عند شراءه مع اي بطارية ليثيوم حصرا مع بعض - انفيرتر يدعم شحن 120 امبير - يفتح لل 5000 وات ماكس - بتحمل 10 الواح شمسية 500 وات تقريباً;"""خصم خاص في حال الشراء مع البطارية - يخصم 10 دولار من سعر الانفيرتر""";INV-AST-4K-5G, INV-AST-4K-5G-1;10;215
suoer4;انفيرتر 4 كيلو;235;انفيرتر سمارت جيل رابع توين - كفالة 18 شهر;"الموديل: VMS-V-4.2K-24V-H

القدرة الاسمية: 4200 واط

موجة المخرج: موجة جيبية نقية (Pure Sine Wave)

أقصى تيار شحن: AC 100A + MPPT 120A

نطاق تشغيل الـ MPPT: من 60VDC إلى 500VDC

جهد المخرج (AC): 220-240 فولت

جهد البطارية: 24 فولت

الاتصال: WIFI / RS232 / RS485 / BMS

نقاط البيع: مخرج AC مزدوج + نظام إدارة البطارية (BMS) + التغذية في الشبكة + العمل بدون بطارية + واي فاي (إختياري).";;souer-g;15;220
SUOER6;انفيرتر 6 كيلو;295;انفيرتر سمارت جيل رابع توين - كفالة 18 شهر;"الموديل: VMS-V-6.2K-48V-H

القدرة الاسمية: 6200 واط

موجة المخرج: موجة جيبية نقية (Pure Sine Wave)

أقصى تيار شحن: AC 100A + MPPT 120A

نطاق تشغيل الـ MPPT: من 60VDC إلى 500VDC

جهد المخرج (AC): 220-240 فولت

جهد البطارية: 48 فولت

الاتصال: WIFI / RS232 / RS485 / BMS

نقاط البيع: مخرج AC مزدوج + نظام إدارة البطارية (BMS) + التغذية في الشبكة + واي فاي (إختياري).";;souer-g,suoer4;15;280
suoer10;انفيرتر 10 كيلو;590;انفيرتر سمارت جيل رابع توين - كفالة 18 شهر;"VMS-III-10.2KW-48V-PRO

القدرة الاسمية: 10200 واط

موجة المخرج: موجة جيبية نقية (Pure Sine Wave)

أقصى تيار شحن: AC 140A + MPPT 180A

نطاق تشغيل الـ MPPT: من 90VDC إلى 500VDC

جهد المخرج (AC): 220-240 فولت

جهد البطارية: 48 فولت

الاتصال: WIFI / RS232

نقاط البيع: مخرج AC مزدوج + التغذية في الشبكة + العمل بدون بطارية + واي فاي (إختياري).";;souer-g;20;570
suoer12;انفيرتر12 كيلو;725;انفيرتر سمارت جيل رابع توين - كفالة 18 شهر;"الموديل: VSM-V-12K-48V-HG

القدرة الاسمية: 12000 واط

موجة المخرج: موجة جيبية نقية (Pure Sine Wave)

أقصى تيار شحن: AC 150A + MPPT 150A

نطاق تشغيل الـ MPPT: من 90VDC إلى 450VDC

جهد المخرج (AC): 220-240 فولت

جهد البطارية: 48 فولت

الاتصال: WIFI / RS485 / GPRS / BMS

نقاط البيع: مدخل MPPT مزدوج (2*27A) + خاصية الربط على التوازي + نظام BMS + التغذية في الشبكة + واي فاي.";;souer-g;25;700
