company;governorate;branch
مسارات;حمص;حمص - الحميدية
مسارات;اللاذقية;اللاذقية - المشروع السابع
مسارات;طرطوس;طرطوس - المشبكة
قدموس;دمشق;دمشق - البرامكة
قدموس;حلب;حلب - الفرقان
قدموس;حمص;حمص - محطة بغداد
قدموس;طرطوس;طرطوس - الكورنيش
