CODE;NAME;PRICE;ABOUT1;ABOUT2;dis;PHOTO;P;H
P1;نقاصة وايفاي سمارت;8.98;ضبط عمل الحمولة في أي وقت تكراري بشكل دائم - تدعم أوامر صوتية - حمولة 10 امبير;;;;2.98;6
F1;حساس حريق سمارت;8;حساس حريق سمارت;يرسل تنبيهات في حال وجود دخان صوت وعلى الهاتف وايفاي ;;;1;7
F2;حساس حريق وحركة;17;يرسل تنبيهات حريق او حركة مع 2 ريموت;;;;2;15
W1;وايفاي 16 امبير ميني 1 مخرج;7;تحكم وايفاي حجم صغير ميني 16 امبير;;;;2;5
